CODE;NAME;COUNTRY
3T;Turan Air;Azerbaijan
8R;TRIP Linhas A;Brazil
U5;USA3000 Airlines;United States
UA;United Airlines;United States
U6;Ural Airlines;Russia
UF;UM Airlines;Ukraine
6Z;Ukrainian Cargo Airways;Ukraine
5X;United Parcel Service;United States
US;US Airways;United States
UT;UTair Aviation;Russia
HY;Uzbekistan Airways;Uzbekistan
UH;US Helicopter Corporation;United States
VA;Virgin Australia;Australia
VF;Valuair;Singapore
VN;Vietnam Airlines;Vietnam
NN;VIM Airlines;Russia
2R;All America AR;Argentina
Y4;Volaris;Mexico
VI;Volga-Dnepr Airlines;Russia
VX;Virgin America;United States
TV;Virgin Express;Belgium
VK;Virgin Nigeria Airways;Nigeria
VS;Virgin Atlantic Airways;United Kingdom
ZG;Viva Macau;Macao
XF;Vladivostok Air;Russia
LC;Varig Log;Brazil
VM;Viaggio Air;Bulgaria
RG;VRG Linhas Aereas;Brazil
VP;VASP;Brazil
VG;VLM Airlines;Belgium
7W;Wayraper;Peru
WJ;WebJet Linhas A;Brazil
2W;Welcome Air;Austria
8O;West Coast Air;Canada
WS;WestJet;Canada
WF;Widerøe;Norway
IV;Wind Jet;Italy
W6;Wizz Air;Hungary
8Z;Wizz Air Hungary;Bulgaria
WO;World Airways;United States
1P;Worldspan;United States
SE;XL Airways France;France
MF;Xiamen Airlines;China
XP;XPTO;Portugal
YL;Yamal Airlines;Russia
Y8;Marusya Airways;Russia
IY;Yemenia;Yemen
Q3;SOCHI AIR CHATER;Russia
3J;Zip;Canada
C4;LionXpress;Cameroon
Z4;Zoom Airlines;Canada
UK;Air Vistara;India
XW;Sky Express;Russia
Y0;Yellow Air Taxi;United States
6T;Air Mandalay;Burma
TB;TrasBrasil;Brazil
BU;Baikotovitchestrian Airlines ;American Samoa
GH;Globus;Russia
9Y;Air Kazakhstan;Kazakhstan
JD;Japan Air System;Japan
ZQ;Locair;United States
DS;EasyJet (DS);Switzerland
2I;Star Peru (2I);Peru
KW;Carnival Air Lines;United States
4H;United Airways;Bangladesh
M8;TransNusa Air;Indonesia
5H;Fly540;Kenya
WP;Island Air (WP);United States
OG;AirOnix;Ukraine
B7;Uni Air;Taiwan
YD;Gomelavia;Belarus
WZ;Red Wings;Russia
11;TUIfly (X3);Germany
FU;Felix Airways;Yemen
K1;Kostromskie avialinii;Russia
XX;Greenfly;Spain
7J;Tajik Air;Tajikistan
TM;Air Mozambique;Mozambique
--;ELK Airways;Estonia
VH;Virgin Pacific;Fiji
Z2;Zest Air;Philippines
3O;Air Arabia Maroc;Morocco
B1;Baltic Air lines;Latvia
YC;Ciel Canadien;Canada
3I;Air Comet Chile;Chile
-.;Nazca;Peru
DN;Senegal Airlines;Senegal
IL;Fly Illi;United States
SZ;Salzburg arrows;Austria
KT;VickJet;France
ZZ;Zz;Belgium
A1;Atifly;United States
CB;CCML Airlines;Colombia
RY;Rainbow Air Canada;Canada
99;Ciao Air;Italy
VB;Pacific Express;United States
5P;Pal airlines;Chile
C1;CanXpress;Canada
C2;CanXplorer;Canada
QA;Click (Mexicana);Mexico
W1;World Experience Airline;Canada
3E;Air Choice One;United States
KN;China United;China
4Q;Safi Airlines;Afghanistan
01;Bobb Air Freight;Germany
6D;Pelita;Indonesia
J5;Alaska Seaplane Service;United States
T8;TAN;Argentina
T0;TACA Peru;Peru
7Q;Pan Am World Airways Dominicana;Dominican Republic
V6;VIP Ecuador;Ecuador
ЯП;Polar Airlines;Russia
OC;Catovair;Mauritius
7Z;Halcyonair;Cape Verde
4P;Business Aviation;Congo (Kinshasa)
UJ;AlMasria Universal Airlines;Egypt
6Y;SmartLynx Airlines;Latvia
K7;KoralBlue Airlines;Egypt
7Y;Med Airways;Lebanon
RL;Royal Falcon;Jordan
4L;Euroline;Georgia
ZF;Athens Airways;Greece
VQ;Viking Hellas;Greece
DZ;Starline.kz;Kazakhstan
OQ;Chongqing Airlines;China
PN;West Air China;China
Y7;NordStar Airlines;Russia
9H;MDLR Airlines;India
Q2;Maldivian;Maldives
XN;Xpressair;Indonesia
5E;SGA Airlines;Thailand
F8;Air2there;New Zealand
??;British Air Ferries;United Kingdom
++;Lombards Air;South Africa
-+;U.S. Air;United States
\\';Jayrow;Australia
::;Llloyd Helicopters;Australia
;;;Wilderness Air;Australia
^^;Whitaker Air;Australia
WQ;PanAm World Airways;United States
YY;Virginwings;Germany
WU;Wizz Air Ukraine;Ukraine
47;88;Cyprus
H3;Harbour Air (Priv);Canada
69;Royal European Airlines;United Kingdom
&T;Tom\\'s & co airliners;France
X1;Nik Airways;Saudi Arabia
XZ;Congo Express;Congo (Kinshasa)
FZ;Fly Dubai;United Arab Emirates
D1;Domenican Airlines;Dominican Republic
9A;All Africa;South Africa
YZ;LSM AIRLINES ;Russia
YP;Aero Lloyd (YP);Germany
UR;UTair-Express;Russia
G5;Huaxia;China
N1;N1;Peru
4Z;Airlink (SAA);South Africa
3B;JobAir;Czech Republic
OD;Malindo Air;Malaysia
9C;China SSS;China
NJ;Nordic Global Airlines;Finland
TJ;T.J. Air;United States
Z6;ZABAIKAL AIRLINES;Russia
Y1;Yellowstone Club Private Shuttle;United States
NS;Caucasus Airlines;Georgia
S1;Serbian Airlines;Serbia
WM;Windward Islands Airways;Netherlands Antilles
YO;TransHolding System;Brazil
F1;Fly Brasil;Brazil
3F;Fly Colombia ( Interliging Flights );Colombia
МИ;KMV;Russia
N0;Norte Lineas Aereas;Argentina
W7;Austral Brasil;Brazil
YI;TUR Avrupa Hava YollarÄ±;Turkey
L4;Luchsh Airlines ;Russia
7M;Mongolian International Air Lines ;Mongolia
HI;Papillon Grand Canyon Helicopters;United States
XB;NEXT Brasil;Brazil
KH;Kharkiv Airlines;Ukraine
E1;Usa Sky Cargo;United States
4X;Red Jet Mexico;Mexico
7H;Era Alaska;United States
H1;Hankook Air US;United States
10;Canadian World;Canada
XV;BVI Airways;British Virgin Islands
ZJ;Zambezi Airlines (ZMA);Zambia
YQ;Polet Airlines (Priv);Russia
T1;TROPICAL LINHAS AEREAS;Brazil
12;12 North;India
L6;Mauritania Airlines International;Mauritania
6F;MAT Airways;Macedonia
OI;Orchid Airlines;Australia
XR;Skywest Australia;Australia
NP;Nile Air;Egypt
0X;Copenhagen Express;Denmark
YR;SENIC AIRLINES;United States
PP;Air Indus;Pakistan
07;Samurai Airlines;Pakistan
00;AirOne Atlantic;Slovakia
U1;Aviabus;Russia
MM;Peach Aviation;Japan
DF;Michael Airlines;Puerto Rico
ZC;Korongo Airlines;Congo (Kinshasa)
I5;Indonesia Sky;Indonesia
9P;Pelangi ;Malaysia
B0;Aws express;United States
76;Southjet;United States
77;Southjet connect;United States
78;Southjet cargo;United States
I2;Iberia Express;Spain
4O;Interjet (ABC Aerolineas);Mexico
TZ;Scoot;Singapore
ZN;Zenith International Airline;Thailand
O1;Orbit Airlines Azerbaijan;Azerbaijan
P4;Patriot Airways;United States
5Q;BQB Lineas Aereas;Uruguay
YE;Yellowtail;United States
YH;Yangon Airways Ltd.;Burma
WL;CheapFlyingInternational;France
24;Euro Jet;Germany
9F;Tramm Airlines;Netherlands Antilles
Z9;Flightlink Tanzania;Tanzania
I8;IzAvia;Russia
M1;Maryland Air;United States
7I;Insel Air (7I/INC) (Priv);Netherlands Antilles
ZM;Apache Air;United States
13;Eastern Atlantic Virtual Airlines;United States
QG;Citilink Indonesia;Indonesia
GU;Gulisano airways;Italy
XA;XAIR USA;United States
..;Avilu;Switzerland
RN;Rainbow Air (RAI);United States
RM;Rainbow Air US;United States
9N;Regional Air Iceland;Iceland
8K;Voestar;Brazil
2X;Regionalia Uruguay;Uruguay
9J;Regionalia Chile;Chile
6C;Vuela Cuba;Cuba
88;All Australia;Australia
1X;Island Express Air;Canada
Z0;All Argentina Express;Argentina
RT;Real Tonga;Tonga
1Y;All America BR;Brazil
X9;Islands Express;United States
9V;Volotea Costa Rica;Costa Rica
X5;Fly Romania;Romania
0Y;All America CO;Colombia
0M;All America MX;Mexico
QP;Air Kenya (Priv);Kenya
J1;OneJet;United States
0G;Global Airlines;Argentina
D2;Severstal Air Company;Russia
4B;Boutique Air (Priv);United States
3X;Aguilar Connect;Chile
7V;ROYAL BRITAIN;United Kingdom
Z5;INAVIA Internacional;Argentina
LE;Liberty Airways;United States
АЯ;Аэросервис;Russia
5B;Bassaka airlines;Cambodia
Q7;SkyBahamas Airlines;Bahamas
UW;UVT Aero;Russia
3M;Silver Airways (3M);United States
I3;ATA Airlines (Iran);Iran
V1;VIA Líneas Aéreas;Argentina
3D;Palair Macedonia (3D);Macedonia
K3;Atlantic Air Cargo;United States
0E;Dummy;France
0P;All America BOPY;Paraguay
2Y;Air Andaman (2Y);Thailand
JG;Jetgo Australia;Australia
